FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,SEX,URBANIZATION,DISABILITY,OCCUPATION,ECONOMIC_SECTOR,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
A,2021,TO,POPCNT,M,R,1,9,E,70,N,,,,,
A,2019,MH,POPCNT,M,U,1,9,E,14,N,,,,,
A,2021,TO,POPCNT,M,U,1,9,E,7,N,,,,,
A,2019,MH,POPCNT,M,U,1,0,F,11,N,,,,,
A,2019,MH,POPCNT,F,U,1,1,F,11,N,,,,,
A,2019,MH,POPCNT,M,R,1,1,F,8,N,,,,,
A,2019,VU,POPCNT,M,R,1,1,F,647,N,,,,,
A,2021,TO,POPCNT,M,R,1,1,F,78,N,,,,,
A,2019,MH,POPCNT,M,U,1,1,F,142,N,,,,,
A,2019,VU,POPCNT,M,U,1,1,F,312,N,,,,,
A,2021,TO,POPCNT,M,U,1,1,F,15,N,,,,,
A,2019,VU,POPCNT,M,R,2,1,F,39,N,,,,,
A,2019,VU,POPCNT,M,U,2,1,F,8,N,,,,,
A,2019,MH,POPCNT,M,R,1,2,F,3,N,,,,,
A,2021,TO,POPCNT,M,R,1,2,F,7,N,,,,,
A,2019,KI,POPCNT,M,U,1,2,F,14,N,,,,,
A,2019,MH,POPCNT,M,U,1,2,F,126,N,,,,,
A,2021,TO,POPCNT,M,U,1,2,F,7,N,,,,,
A,2019,VU,POPCNT,F,R,1,3,F,17,N,,,,,
A,2019,KI,POPCNT,M,R,1,3,F,6,N,,,,,
A,2019,VU,POPCNT,M,R,1,3,F,41,N,,,,,
A,2021,TO,POPCNT,M,R,1,3,F,43,N,,,,,
A,2019,MH,POPCNT,M,U,1,3,F,80,N,,,,,
A,2019,VU,POPCNT,M,U,1,3,F,48,N,,,,,
A,2021,TO,POPCNT,M,U,1,3,F,7,N,,,,,
A,2019,VU,POPCNT,F,R,1,4,F,13,N,,,,,
A,2021,TO,POPCNT,M,U,1,4,F,7,N,,,,,
A,2019,MH,POPCNT,F,U,1,5,F,1,N,,,,,
A,2019,VU,POPCNT,F,U,1,5,F,26,N,,,,,
A,2019,KI,POPCNT,M,R,1,5,F,1,N,,,,,
A,2019,MH,POPCNT,M,U,1,5,F,147,N,,,,,
A,2019,KI,POPCNT,F,R,1,7,F,2,N,,,,,
A,2021,TO,POPCNT,F,R,1,7,F,18,N,,,,,
A,2019,KI,POPCNT,M,R,1,7,F,40,N,,,,,
A,2019,VU,POPCNT,M,R,1,7,F,354,N,,,,,
A,2021,TO,POPCNT,M,R,1,7,F,805,N,,,,,
A,2019,KI,POPCNT,M,U,1,7,F,56,N,,,,,
A,2019,MH,POPCNT,M,U,1,7,F,288,N,,,,,
A,2019,VU,POPCNT,M,U,1,7,F,588,N,,,,,
A,2021,TO,POPCNT,M,U,1,7,F,547,N,,,,,
A,2021,TO,POPCNT,M,R,2,7,F,4,N,,,,,
A,2019,MH,POPCNT,M,U,2,7,F,27,N,,,,,
A,2019,VU,POPCNT,M,U,2,7,F,18,N,,,,,
A,2021,TO,POPCNT,M,U,2,7,F,7,N,,,,,
A,2019,KI,POPCNT,M,R,1,8,F,6,N,,,,,
A,2019,VU,POPCNT,M,R,1,8,F,13,N,,,,,
A,2021,TO,POPCNT,M,R,1,8,F,10,N,,,,,
A,2019,MH,POPCNT,M,U,1,8,F,13,N,,,,,
A,2019,VU,POPCNT,M,U,1,8,F,7,N,,,,,
A,2019,VU,POPCNT,F,R,1,9,F,49,N,,,,,
A,2019,KI,POPCNT,M,R,1,9,F,137,N,,,,,
A,2019,MH,POPCNT,M,R,1,9,F,5,N,,,,,
A,2019,VU,POPCNT,M,R,1,9,F,408,N,,,,,
A,2021,TO,POPCNT,M,R,1,9,F,317,N,,,,,
A,2019,KI,POPCNT,M,U,1,9,F,283,N,,,,,
A,2019,MH,POPCNT,M,U,1,9,F,179,N,,,,,
A,2019,VU,POPCNT,M,U,1,9,F,156,N,,,,,
A,2021,TO,POPCNT,M,U,1,9,F,7,N,,,,,
A,2021,TO,POPCNT,M,R,2,9,F,18,N,,,,,
A,2019,MH,POPCNT,M,U,2,9,F,33,N,,,,,
A,2019,VU,POPCNT,F,U,1,_X,G,29,N,,,,,
A,2019,VU,POPCNT,M,U,1,_X,G,37,N,,,,,
A,2019,VU,POPCNT,M,U,2,_X,G,10,N,,,,,
A,2019,KI,POPCNT,F,R,1,1,G,129,N,,,,,
A,2019,MH,POPCNT,F,R,1,1,G,75,N,,,,,
A,2019,VU,POPCNT,F,R,1,1,G,603,N,,,,,
A,2021,TO,POPCNT,F,R,1,1,G,7,N,,,,,
A,2019,KI,POPCNT,F,U,1,1,G,60,N,,,,,
A,2019,MH,POPCNT,F,U,1,1,G,107,N,,,,,
A,2019,VU,POPCNT,F,U,1,1,G,366,N,,,,,
A,2021,TO,POPCNT,F,U,1,1,G,15,N,,,,,
A,2019,KI,POPCNT,M,R,1,1,G,85,N,,,,,
A,2019,MH,POPCNT,M,R,1,1,G,27,N,,,,,
A,2019,VU,POPCNT,M,R,1,1,G,352,N,,,,,
A,2021,TO,POPCNT,M,R,1,1,G,37,N,,,,,
A,2019,KI,POPCNT,M,U,1,1,G,137,N,,,,,
A,2019,MH,POPCNT,M,U,1,1,G,103,N,,,,,
A,2019,VU,POPCNT,M,U,1,1,G,148,N,,,,,
A,2021,TO,POPCNT,M,U,1,1,G,22,N,,,,,
A,2019,KI,POPCNT,F,R,2,1,G,7,N,,,,,
A,2019,VU,POPCNT,F,R,2,1,G,23,N,,,,,
A,2019,KI,POPCNT,F,U,2,1,G,12,N,,,,,
A,2019,KI,POPCNT,M,R,2,1,G,11,N,,,,,
A,2019,VU,POPCNT,M,U,2,1,G,24,N,,,,,
A,2019,KI,POPCNT,F,R,1,2,G,1,N,,,,,
A,2021,TO,POPCNT,F,R,1,2,G,25,N,,,,,
A,2019,KI,POPCNT,F,U,1,2,G,61,N,,,,,
A,2021,TO,POPCNT,F,U,1,2,G,52,N,,,,,
A,2019,KI,POPCNT,M,R,1,2,G,5,N,,,,,
A,2021,TO,POPCNT,M,R,1,2,G,105,N,,,,,
A,2019,KI,POPCNT,M,U,1,2,G,65,N,,,,,
A,2019,MH,POPCNT,M,U,1,2,G,20,N,,,,,
A,2021,TO,POPCNT,M,U,1,2,G,73,N,,,,,
A,2019,KI,POPCNT,M,U,2,2,G,13,N,,,,,
A,2021,TO,POPCNT,M,U,2,2,G,7,N,,,,,
A,2019,MH,POPCNT,F,R,1,3,G,8,N,,,,,
A,2019,VU,POPCNT,F,R,1,3,G,24,N,,,,,
A,2019,KI,POPCNT,F,U,1,3,G,31,N,,,,,
A,2019,MH,POPCNT,F,U,1,3,G,14,N,,,,,
A,2021,TO,POPCNT,F,U,1,3,G,30,N,,,,,
A,2019,KI,POPCNT,M,R,1,3,G,11,N,,,,,
A,2019,VU,POPCNT,M,R,1,3,G,70,N,,,,,
A,2021,TO,POPCNT,M,R,1,3,G,65,N,,,,,
A,2019,KI,POPCNT,M,U,1,3,G,43,N,,,,,
A,2019,MH,POPCNT,M,U,1,3,G,13,N,,,,,
A,2019,VU,POPCNT,M,U,1,3,G,7,N,,,,,
A,2021,TO,POPCNT,M,U,1,3,G,22,N,,,,,
A,2019,KI,POPCNT,F,R,1,4,G,14,N,,,,,
A,2019,VU,POPCNT,F,R,1,4,G,16,N,,,,,
A,2021,TO,POPCNT,F,R,1,4,G,71,N,,,,,
A,2019,KI,POPCNT,F,U,1,4,G,64,N,,,,,
A,2019,VU,POPCNT,F,U,1,4,G,37,N,,,,,
A,2021,TO,POPCNT,F,U,1,4,G,37,N,,,,,
A,2021,TO,POPCNT,M,R,1,4,G,25,N,,,,,
A,2019,KI,POPCNT,M,U,1,4,G,15,N,,,,,
A,2019,MH,POPCNT,M,U,1,4,G,92,N,,,,,
A,2019,VU,POPCNT,M,U,1,4,G,25,N,,,,,
A,2021,TO,POPCNT,M,U,1,4,G,22,N,,,,,
A,2019,KI,POPCNT,F,R,1,5,G,684,N,,,,,
A,2019,MH,POPCNT,F,R,1,5,G,3,N,,,,,
A,2019,VU,POPCNT,F,R,1,5,G,1846,N,,,,,
A,2021,TO,POPCNT,F,R,1,5,G,1040,N,,,,,
A,2019,KI,POPCNT,F,U,1,5,G,1442,N,,,,,
A,2019,MH,POPCNT,F,U,1,5,G,431,N,,,,,
A,2019,VU,POPCNT,F,U,1,5,G,3327,N,,,,,
A,2021,TO,POPCNT,F,U,1,5,G,461,N,,,,,
A,2019,KI,POPCNT,M,R,1,5,G,292,N,,,,,
A,2019,VU,POPCNT,M,R,1,5,G,678,N,,,,,
A,2021,TO,POPCNT,M,R,1,5,G,217,N,,,,,
A,2019,KI,POPCNT,M,U,1,5,G,601,N,,,,,
A,2019,MH,POPCNT,M,U,1,5,G,202,N,,,,,
A,2019,VU,POPCNT,M,U,1,5,G,596,N,,,,,
A,2021,TO,POPCNT,M,U,1,5,G,119,N,,,,,
A,2019,KI,POPCNT,F,R,2,5,G,52,N,,,,,
A,2019,VU,POPCNT,F,R,2,5,G,8,N,,,,,
A,2021,TO,POPCNT,F,R,2,5,G,4,N,,,,,
A,2019,KI,POPCNT,F,U,2,5,G,59,N,,,,,
A,2019,VU,POPCNT,F,U,2,5,G,9,N,,,,,
A,2021,TO,POPCNT,F,U,2,5,G,7,N,,,,,
A,2019,KI,POPCNT,M,R,2,5,G,17,N,,,,,
