FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,URBANISATION,SEX,AGE,DISABILITY,EDUCATION,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,DATASOURCE,OBS_STATUS,OBS_COMMENT,CONF_STATUS
A,2019,MH,POPCNT,U,F,Y25T54,2,1,13,N,,,,,
A,2019,VU,POPCNT,U,F,Y25T54,2,1,49,N,,,,,
A,2020,KI,POPCNT,U,F,Y25T54,2,1,62,N,,,,,
A,2020,PW,POPCNT,U,F,Y25T54,2,1,1,N,,,,,
A,2020,VU,POPCNT,U,F,Y25T54,2,1,93,N,,,,,
A,2021,MH,POPCNT,U,F,Y25T54,2,1,10,N,,,,,
A,2021,TO,POPCNT,U,F,Y25T54,2,1,5,N,,,,,
A,2019,KI,POPCNT,R,M,Y25T54,2,1,48,N,,,,,
A,2019,VU,POPCNT,R,M,Y25T54,2,1,397,N,,,,,
A,2020,KI,POPCNT,R,M,Y25T54,2,1,88,N,,,,,
A,2020,VU,POPCNT,R,M,Y25T54,2,1,388,N,,,,,
A,2021,TO,POPCNT,R,M,Y25T54,2,1,40,N,,,,,
A,2019,KI,POPCNT,U,M,Y25T54,2,1,97,N,,,,,
A,2019,MH,POPCNT,U,M,Y25T54,2,1,20,N,,,,,
A,2019,VU,POPCNT,U,M,Y25T54,2,1,30,N,,,,,
A,2020,KI,POPCNT,U,M,Y25T54,2,1,76,N,,,,,
A,2020,PW,POPCNT,U,M,Y25T54,2,1,4,N,,,,,
A,2020,VU,POPCNT,U,M,Y25T54,2,1,109,N,,,,,
A,2021,MH,POPCNT,U,M,Y25T54,2,1,8,N,,,,,
A,2021,TO,POPCNT,U,M,Y25T54,2,1,8,N,,,,,
A,2017,TV,POPCNT,R,F,Y55T64,2,1,1,N,,,,,
A,2019,KI,POPCNT,R,F,Y55T64,2,1,94,N,,,,,
A,2019,MH,POPCNT,R,F,Y55T64,2,1,10,N,,,,,
A,2019,VU,POPCNT,R,F,Y55T64,2,1,157,N,,,,,
A,2020,KI,POPCNT,R,F,Y55T64,2,1,84,N,,,,,
A,2020,PW,POPCNT,R,F,Y55T64,2,1,2,N,,,,,
A,2020,VU,POPCNT,R,F,Y55T64,2,1,337,N,,,,,
A,2021,TO,POPCNT,R,F,Y55T64,2,1,50,N,,,,,
A,2019,KI,POPCNT,U,F,Y55T64,2,1,62,N,,,,,
A,2019,MH,POPCNT,U,F,Y55T64,2,1,13,N,,,,,
A,2019,VU,POPCNT,U,F,Y55T64,2,1,84,N,,,,,
A,2020,KI,POPCNT,U,F,Y55T64,2,1,90,N,,,,,
A,2020,PW,POPCNT,U,F,Y55T64,2,1,2,N,,,,,
A,2020,VU,POPCNT,U,F,Y55T64,2,1,106,N,,,,,
A,2021,MH,POPCNT,U,F,Y55T64,2,1,4,N,,,,,
A,2021,TO,POPCNT,U,F,Y55T64,2,1,15,N,,,,,
A,2019,KI,POPCNT,R,M,Y55T64,2,1,36,N,,,,,
A,2019,VU,POPCNT,R,M,Y55T64,2,1,247,N,,,,,
A,2020,KI,POPCNT,R,M,Y55T64,2,1,62,N,,,,,
A,2020,PW,POPCNT,R,M,Y55T64,2,1,2,N,,,,,
A,2020,VU,POPCNT,R,M,Y55T64,2,1,244,N,,,,,
A,2021,TO,POPCNT,R,M,Y55T64,2,1,56,N,,,,,
A,2019,KI,POPCNT,U,M,Y55T64,2,1,32,N,,,,,
A,2019,VU,POPCNT,U,M,Y55T64,2,1,25,N,,,,,
A,2020,KI,POPCNT,U,M,Y55T64,2,1,30,N,,,,,
A,2020,PW,POPCNT,U,M,Y55T64,2,1,1,N,,,,,
A,2020,VU,POPCNT,U,M,Y55T64,2,1,71,N,,,,,
A,2021,MH,POPCNT,U,M,Y55T64,2,1,3,N,,,,,
A,2021,TO,POPCNT,U,M,Y55T64,2,1,2,N,,,,,
A,2017,TV,POPCNT,R,F,Y65T999,2,1,2,N,,,,,
A,2019,KI,POPCNT,R,F,Y65T999,2,1,199,N,,,,,
A,2019,MH,POPCNT,R,F,Y65T999,2,1,11,N,,,,,
A,2019,VU,POPCNT,R,F,Y65T999,2,1,320,N,,,,,
A,2020,KI,POPCNT,R,F,Y65T999,2,1,189,N,,,,,
A,2020,PW,POPCNT,R,F,Y65T999,2,1,10,N,,,,,
A,2020,VU,POPCNT,R,F,Y65T999,2,1,658,N,,,,,
A,2021,TO,POPCNT,R,F,Y65T999,2,1,376,N,,,,,
A,2019,KI,POPCNT,U,F,Y65T999,2,1,188,N,,,,,
A,2019,MH,POPCNT,U,F,Y65T999,2,1,13,N,,,,,
A,2019,VU,POPCNT,U,F,Y65T999,2,1,103,N,,,,,
A,2020,KI,POPCNT,U,F,Y65T999,2,1,200,N,,,,,
A,2020,PW,POPCNT,U,F,Y65T999,2,1,13,N,,,,,
A,2020,VU,POPCNT,U,F,Y65T999,2,1,99,N,,,,,
A,2021,MH,POPCNT,U,F,Y65T999,2,1,11,N,,,,,
A,2021,TO,POPCNT,U,F,Y65T999,2,1,69,N,,,,,
A,2017,TV,POPCNT,R,M,Y65T999,2,1,1,N,,,,,
A,2019,KI,POPCNT,R,M,Y65T999,2,1,26,N,,,,,
A,2019,MH,POPCNT,R,M,Y65T999,2,1,11,N,,,,,
